No,Wilayah,Tipe_Disabilitas,Jumlah_Jiwa,Tahun,Link_Data
338,KOTA DEPOK,Rungu/Wicara,324,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
339,KOTA BANDUNG,Fisik,298,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
340,KAB. PANGANDARAN,Intelektual,277,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
341,KAB. BEKASI,Rungu/Wicara,70,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
342,KAB. BEKASI,Rungu/Wicara,494,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
343,KOTA CIMAHI,Sensorik,340,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
344,KAB. SUMEDANG,Mental,457,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
345,KAB. SUKABUMI,Intelektual,158,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
346,KAB. BOGOR,Mental,206,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
347,KAB. BANDUNG,Mental,186,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
348,KAB. SUKABUMI,Intelektual,243,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
349,KOTA DEPOK,Rungu/Wicara,139,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
350,KOTA CIREBON,Intelektual,447,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
351,KAB. CIREBON,Sensorik,412,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
352,KAB. KARAWANG,Rungu/Wicara,216,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
353,KOTA TASIKMALAYA,Intelektual,462,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
354,KOTA BOGOR,Mental,144,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
355,KAB. SUKABUMI,Sensorik,110,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
356,KOTA BANJAR,Rungu/Wicara,344,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
357,KOTA BANDUNG,Sensorik,496,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
358,KAB. SUKABUMI,Fisik,197,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
359,KAB. PURWAKARTA,Sensorik,245,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
360,KAB. BANDUNG BARAT,Rungu/Wicara,64,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
361,KOTA BEKASI,Rungu/Wicara,398,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
362,KOTA BANDUNG,Fisik,314,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
363,KOTA TASIKMALAYA,Intelektual,459,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
364,KAB. SUMEDANG,Intelektual,279,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
365,KOTA BOGOR,Mental,66,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
366,KAB. INDRAMAYU,Intelektual,433,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
367,KOTA CIMAHI,Sensorik,160,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
368,KAB. CIANJUR,Mental,309,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
369,KOTA CIMAHI,Mental,77,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
370,KOTA BANDUNG,Fisik,416,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
371,KAB. BANDUNG,Sensorik,35,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
372,KOTA CIMAHI,Fisik,373,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
373,KAB. GARUT,Mental,441,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
374,KAB. BANDUNG,Fisik,425,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
375,KAB. BANDUNG,Mental,485,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
376,KAB. PANGANDARAN,Intelektual,125,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
377,KAB. SUMEDANG,Rungu/Wicara,39,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
378,KAB. INDRAMAYU,Rungu/Wicara,467,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
379,KOTA BANDUNG,Rungu/Wicara,387,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
380,KOTA CIREBON,Sensorik,45,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
381,KAB. CIAMIS,Fisik,211,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
382,KOTA BANJAR,Fisik,57,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
383,KAB. BANDUNG BARAT,Mental,190,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
384,KAB. KUNINGAN,Fisik,131,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
385,KAB. CIANJUR,Intelektual,19,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
386,KAB. BANDUNG BARAT,Sensorik,136,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
387,KOTA BOGOR,Rungu/Wicara,452,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
388,KAB. KARAWANG,Mental,151,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
389,KAB. CIAMIS,Rungu/Wicara,99,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
390,KAB. SUKABUMI,Mental,209,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
391,KAB. BANDUNG BARAT,Sensorik,346,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
392,KOTA TASIKMALAYA,Sensorik,358,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
393,KOTA TASIKMALAYA,Intelektual,359,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
394,KAB. CIANJUR,Rungu/Wicara,272,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
395,KAB. INDRAMAYU,Sensorik,210,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
396,KOTA BEKASI,Intelektual,207,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
397,KAB. CIANJUR,Sensorik,470,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
398,KAB. KUNINGAN,Sensorik,169,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
399,KOTA TASIKMALAYA,Fisik,344,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
400,KAB. GARUT,Intelektual,195,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
401,KAB. INDRAMAYU,Mental,102,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
402,KAB. CIAMIS,Intelektual,442,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
403,KAB. BEKASI,Sensorik,496,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
404,KOTA CIMAHI,Intelektual,186,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
405,KAB. SUBANG,Mental,407,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
406,KAB. SUMEDANG,Fisik,79,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
407,KOTA BANDUNG,Rungu/Wicara,77,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
408,KOTA BANJAR,Intelektual,500,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
409,KOTA TASIKMALAYA,Mental,149,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
410,KOTA BANDUNG,Intelektual,461,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
411,KOTA CIMAHI,Sensorik,262,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
412,KAB. KARAWANG,Intelektual,154,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
413,KAB. CIAMIS,Sensorik,105,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
414,KAB. KUNINGAN,Sensorik,311,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
415,KOTA DEPOK,Intelektual,246,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
416,KOTA DEPOK,Sensorik,449,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
417,KOTA BEKASI,Intelektual,245,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
418,KAB. SUMEDANG,Mental,113,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
419,KAB. PANGANDARAN,Fisik,434,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
420,KOTA BANDUNG,Intelektual,369,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
421,KOTA CIMAHI,Rungu/Wicara,417,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
422,KAB. BOGOR,Rungu/Wicara,233,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
423,KOTA CIREBON,Sensorik,354,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
424,KOTA BEKASI,Intelektual,176,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
425,KAB. BANDUNG BARAT,Rungu/Wicara,307,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
426,KOTA SUKABUMI,Intelektual,116,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
427,KAB. INDRAMAYU,Intelektual,262,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
428,KOTA TASIKMALAYA,Mental,261,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
429,KOTA BOGOR,Sensorik,250,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
430,KAB. BOGOR,Mental,258,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
431,KAB. SUMEDANG,Sensorik,167,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
432,KAB. MAJALENGKA,Intelektual,13,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
433,KAB. BEKASI,Sensorik,173,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
434,KAB. BOGOR,Sensorik,409,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
435,KOTA TASIKMALAYA,Sensorik,321,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
436,KOTA DEPOK,Intelektual,18,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
437,KAB. TASIKMALAYA,Sensorik,98,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
438,KOTA BEKASI,Fisik,385,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
439,KAB. BEKASI,Rungu/Wicara,380,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
440,KOTA CIREBON,Intelektual,64,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
441,KAB. TASIKMALAYA,Sensorik,344,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
442,KAB. CIANJUR,Rungu/Wicara,423,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
443,KOTA SUKABUMI,Mental,469,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
444,KAB. BOGOR,Sensorik,432,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
445,KOTA DEPOK,Fisik,150,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
446,KOTA CIMAHI,Sensorik,149,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
447,KOTA BEKASI,Intelektual,212,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
448,KOTA BANDUNG,Fisik,184,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
449,KOTA BEKASI,Mental,445,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
450,KAB. TASIKMALAYA,Rungu/Wicara,309,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
451,KAB. CIREBON,Sensorik,38,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
452,KAB. KUNINGAN,Intelektual,473,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
453,KOTA SUKABUMI,Sensorik,347,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
454,KOTA BEKASI,Mental,164,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
455,KAB. CIANJUR,Sensorik,35,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
456,KOTA BEKASI,Mental,228,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
457,KOTA SUKABUMI,Mental,389,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
458,KOTA DEPOK,Sensorik,314,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
459,KAB. BEKASI,Fisik,265,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
460,KAB. CIANJUR,Mental,168,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
461,KOTA BEKASI,Sensorik,74,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
462,KAB. CIREBON,Rungu/Wicara,453,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
463,KAB. BOGOR,Mental,125,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
464,KAB. BANDUNG,Sensorik,47,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
465,KAB. MAJALENGKA,Intelektual,44,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
466,KOTA CIMAHI,Fisik,292,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
467,KAB. SUBANG,Sensorik,286,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
468,KOTA TASIKMALAYA,Mental,311,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
469,KAB. TASIKMALAYA,Mental,393,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
470,KOTA SUKABUMI,Intelektual,77,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
471,KOTA CIMAHI,Fisik,246,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
472,KAB. KARAWANG,Fisik,63,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
473,KOTA BEKASI,Intelektual,309,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
474,KAB. MAJALENGKA,Rungu/Wicara,78,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
475,KOTA DEPOK,Intelektual,420,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
476,KAB. MAJALENGKA,Rungu/Wicara,20,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
477,KOTA BANDUNG,Mental,267,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
478,KAB. KARAWANG,Rungu/Wicara,165,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
479,KAB. BANDUNG,Fisik,73,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
480,KAB. CIANJUR,Fisik,334,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
481,KAB. BEKASI,Rungu/Wicara,249,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
482,KAB. TASIKMALAYA,Sensorik,65,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
483,KOTA BANDUNG,Sensorik,81,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
484,KAB. GARUT,Rungu/Wicara,421,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
485,KOTA TASIKMALAYA,Sensorik,185,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
486,KAB. CIANJUR,Sensorik,491,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
487,KOTA BANDUNG,Sensorik,470,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
488,KAB. TASIKMALAYA,Rungu/Wicara,347,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
489,KOTA CIREBON,Sensorik,239,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
490,KAB. BANDUNG,Mental,121,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
491,KAB. BANDUNG BARAT,Fisik,390,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
492,KAB. PURWAKARTA,Rungu/Wicara,99,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
493,KAB. BANDUNG BARAT,Rungu/Wicara,336,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
494,KAB. KARAWANG,Intelektual,25,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
495,KAB. CIAMIS,Mental,92,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
496,KAB. SUKABUMI,Mental,108,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
497,KOTA BOGOR,Mental,358,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
498,KAB. TASIKMALAYA,Rungu/Wicara,325,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
499,KAB. KUNINGAN,Sensorik,235,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
500,KAB. KUNINGAN,Intelektual,347,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
501,KAB. BANDUNG,Rungu/Wicara,154,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
502,KAB. BANDUNG BARAT,Fisik,271,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
503,KOTA BOGOR,Rungu/Wicara,137,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
504,KAB. BEKASI,Rungu/Wicara,108,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
505,KOTA BOGOR,Sensorik,243,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
